Alg,Set_Num,Rep_num,Fitness,Seconds,tokeep,samples
mimic,0,990,74.0,0.0147321,0.1,30
mimic,0,1000,74.0,0.0141268,0.1,30
mimic,0,1010,74.0,0.0157945,0.1,30
mimic,0,1020,74.0,0.0152684,0.1,30
mimic,0,1030,74.0,0.0136858,0.1,30
mimic,0,1040,74.0,0.0133155,0.1,30
mimic,0,1050,74.0,0.0181585,0.1,30
mimic,0,1060,74.0,0.0153277,0.1,30
mimic,0,1070,74.0,0.0186072,0.1,30
mimic,0,1080,74.0,0.014062,0.1,30
mimic,0,1090,74.0,0.0147859,0.1,30
mimic,0,1100,74.0,0.0165215,0.1,30
mimic,0,1110,74.0,0.0134659,0.1,30
mimic,0,1120,74.0,0.0137634,0.1,30
mimic,0,1130,74.0,0.0130408,0.1,30
mimic,0,1140,74.0,0.0145772,0.1,30
mimic,0,1150,74.0,0.0139416,0.1,30
mimic,0,1160,73.0,0.0139983,0.1,30
mimic,0,1170,73.0,0.0154055,0.1,30
mimic,0,1180,71.0,0.0193961,0.1,30
mimic,0,1190,73.0,0.0147998,0.1,30
mimic,0,1200,71.0,0.0139172,0.1,30
mimic,0,1210,71.0,0.0144331,0.1,30
mimic,0,1220,72.0,0.0137064,0.1,30
mimic,0,1230,71.0,0.0140602,0.1,30
mimic,0,1240,72.0,0.0140791,0.1,30
mimic,0,1250,74.0,0.0143783,0.1,30
mimic,0,1260,74.0,0.0161078,0.1,30
mimic,0,1270,74.0,0.0154724,0.1,30
mimic,0,1280,74.0,0.0138243,0.1,30
mimic,0,1290,74.0,0.0136853,0.1,30
mimic,0,1300,74.0,0.0146571,0.1,30
mimic,0,1310,74.0,0.0188024,0.1,30
mimic,0,1320,74.0,0.0136948,0.1,30
mimic,0,1330,74.0,0.0142424,0.1,30
mimic,0,1340,74.0,0.014367,0.1,30
mimic,0,1350,74.0,0.0144292000001,0.1,30
mimic,0,1360,74.0,0.0147115,0.1,30
mimic,0,1370,74.0,0.0149209,0.1,30
mimic,0,1380,74.0,0.0144991,0.1,30
mimic,0,1390,74.0,0.0141864,0.1,30
mimic,0,1400,74.0,0.0138099,0.1,30
mimic,0,1410,74.0,0.0134582,0.1,30
mimic,0,1420,74.0,0.0141763,0.1,30
mimic,0,1430,74.0,0.0131571,0.1,30
mimic,0,1440,74.0,0.016923,0.1,30
