Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,tokeep,samples
mimic,0,1410,73.0,0.014934679,46971,0.1,30
mimic,0,1420,75.0,0.014200672,47302,0.1,30
mimic,0,1430,75.0,0.014725754,47633,0.1,30
mimic,0,1440,75.0,0.015148388,47964,0.1,30
mimic,0,1450,75.0,0.014703641,48295,0.1,30
mimic,0,1460,75.0,0.014732298,48626,0.1,30
mimic,0,1470,75.0,0.014188795,48957,0.1,30
mimic,0,1480,75.0,0.014475506,49288,0.1,30
mimic,0,1490,75.0,0.014507983,49619,0.1,30
mimic,0,1500,75.0,0.01418302,49950,0.1,30
mimic,0,1510,75.0,0.014298644,50281,0.1,30
mimic,0,1520,77.0,0.014086662,50612,0.1,30
mimic,0,1530,77.0,0.015195271,50943,0.1,30
mimic,0,1540,76.0,0.014176071,51274,0.1,30
mimic,0,1550,76.0,0.014255558,51605,0.1,30
mimic,0,1560,76.0,0.014020937,51936,0.1,30
mimic,0,1570,76.0,0.014567286,52267,0.1,30
mimic,0,1580,76.0,0.014068267,52598,0.1,30
mimic,0,1590,76.0,0.014293034,52929,0.1,30
mimic,0,1600,76.0,0.014932907,53260,0.1,30
mimic,0,1610,76.0,0.015382164,53591,0.1,30
mimic,0,1620,76.0,0.014636463,53922,0.1,30
mimic,0,1630,76.0,0.014847297,54253,0.1,30
mimic,0,1640,76.0,0.014591053,54584,0.1,30
mimic,0,1650,76.0,0.014998341,54915,0.1,30
mimic,0,1660,76.0,0.014693804,55246,0.1,30
mimic,0,1670,76.0,0.014593769,55577,0.1,30
mimic,0,1680,76.0,0.014116492,55908,0.1,30
mimic,0,1690,76.0,0.014298493,56239,0.1,30
mimic,0,1700,76.0,0.014472433,56570,0.1,30
mimic,0,1710,76.0,0.01453631,56901,0.1,30
mimic,0,1720,76.0,0.014795582,57232,0.1,30
mimic,0,1730,74.0,0.014783264,57563,0.1,30
mimic,0,1740,74.0,0.01588104,57894,0.1,30
mimic,0,1750,72.0,0.016034801,58225,0.1,30
mimic,0,1760,76.0,0.015342749,58556,0.1,30
mimic,0,1770,76.0,0.014667974,58887,0.1,30
mimic,0,1780,76.0,0.014553933,59218,0.1,30
mimic,0,1790,76.0,0.014292672,59549,0.1,30
mimic,0,1800,76.0,0.014632203,59880,0.1,30
mimic,0,1810,76.0,0.01500183,60211,0.1,30
mimic,0,1820,74.0,0.014849232,60542,0.1,30
mimic,0,1830,74.0,0.015146227,60873,0.1,30
mimic,0,1840,74.0,0.015086423,61204,0.1,30
mimic,0,1850,74.0,0.014526646,61535,0.1,30
mimic,0,1860,76.0,0.014805758,61866,0.1,30
mimic,0,1870,74.0,0.014672106,62197,0.1,30
mimic,0,1880,74.0,0.016506914,62528,0.1,30
mimic,0,1890,76.0,0.015127782,62859,0.1,30
mimic,0,1900,76.0,0.013873757,63190,0.1,30
mimic,0,1910,76.0,0.014508588,63521,0.1,30
mimic,0,1920,76.0,0.015170152,63852,0.1,30
mimic,0,1930,76.0,0.0146809,64183,0.1,30
mimic,0,1940,76.0,0.015880945,64514,0.1,30
mimic,0,1950,76.0,0.014589473,64845,0.1,30
mimic,0,1960,76.0,0.014473905,65176,0.1,30
mimic,0,1970,76.0,0.015299821,65507,0.1,30
mimic,0,1980,76.0,0.015326579,65838,0.1,30
mimic,0,1990,76.0,0.015597012,66169,0.1,30
mimic,0,2000,76.0,0.014800343,66500,0.1,30
mimic,0,2010,76.0,0.01387244,66831,0.1,30
mimic,0,2020,76.0,0.015121449,67162,0.1,30
mimic,0,2030,76.0,0.014074152,67493,0.1,30
mimic,0,2040,76.0,0.014167676,67824,0.1,30
mimic,0,2050,76.0,0.014993422,68155,0.1,30
mimic,0,2060,76.0,0.015350764,68486,0.1,30
mimic,0,2070,76.0,0.015690989,68817,0.1,30
mimic,0,2080,76.0,0.014662861,69148,0.1,30
mimic,0,2090,76.0,0.015070832,69479,0.1,30
mimic,0,2100,76.0,0.014785756,69810,0.1,30
mimic,0,2110,76.0,0.015435032,70141,0.1,30
mimic,0,2120,76.0,0.014267403,70472,0.1,30
mimic,0,2130,76.0,0.014649439,70803,0.1,30
mimic,0,2140,76.0,0.0154493,71134,0.1,30
mimic,0,2150,76.0,0.014796614,71465,0.1,30
mimic,0,2160,76.0,0.015264397,71796,0.1,30
mimic,0,2170,76.0,0.015021079,72127,0.1,30
mimic,0,2180,76.0,0.015070557,72458,0.1,30
mimic,0,2190,76.0,0.014318437,72789,0.1,30
mimic,0,2200,76.0,0.014625496,73120,0.1,30
mimic,0,2210,76.0,0.01418538,73451,0.1,30
mimic,0,2220,76.0,0.014237098,73782,0.1,30
mimic,0,2230,76.0,0.014598365,74113,0.1,30
mimic,0,2240,76.0,0.014328404,74444,0.1,30
mimic,0,2250,74.0,0.014857762,74775,0.1,30
mimic,0,2260,74.0,0.014789767,75106,0.1,30
mimic,0,2270,74.0,0.023047578,75437,0.1,30
mimic,0,2280,74.0,0.015689735,75768,0.1,30
mimic,0,2290,74.0,0.014355711,76099,0.1,30
mimic,0,2300,74.0,0.014706922,76430,0.1,30
mimic,0,2310,74.0,0.016258252,76761,0.1,30
mimic,0,2320,76.0,0.015852861,77092,0.1,30
mimic,0,2330,76.0,0.014733812,77423,0.1,30
mimic,0,2340,76.0,0.014332496,77754,0.1,30
mimic,0,2350,76.0,0.014761761,78085,0.1,30
mimic,0,2360,76.0,0.014478676,78416,0.1,30
mimic,0,2370,76.0,0.014276544,78747,0.1,30
mimic,0,2380,76.0,0.013878627,79078,0.1,30
mimic,0,2390,76.0,0.014679679,79409,0.1,30
mimic,0,2400,76.0,0.014579507,79740,0.1,30
mimic,0,2410,76.0,0.014480471,80071,0.1,30
mimic,0,2420,76.0,0.014838819,80402,0.1,30
mimic,0,2430,76.0,0.014348118,80733,0.1,30
mimic,0,2440,74.0,0.014297917,81064,0.1,30
mimic,0,2450,76.0,0.014264253,81395,0.1,30
mimic,0,2460,76.0,0.014270425,81726,0.1,30
mimic,0,2470,76.0,0.014367432,82057,0.1,30
mimic,0,2480,76.0,0.014664447,82388,0.1,30
mimic,0,2490,74.0,0.014532171,82719,0.1,30
mimic,0,2500,76.0,0.014419322,83050,0.1,30
mimic,0,2510,74.0,0.026932948,83381,0.1,30
mimic,0,2520,76.0,0.015539301,83712,0.1,30
mimic,0,2530,76.0,0.014231619,84043,0.1,30
mimic,0,2540,76.0,0.01417667,84374,0.1,30
mimic,0,2550,76.0,0.014320256,84705,0.1,30
mimic,0,2560,76.0,0.016990696,85036,0.1,30
mimic,0,2570,76.0,0.014403205,85367,0.1,30
mimic,0,2580,76.0,0.013835589,85698,0.1,30
mimic,0,2590,76.0,0.013753354,86029,0.1,30
mimic,0,2600,76.0,0.013809506,86360,0.1,30
mimic,0,2610,76.0,0.013920217,86691,0.1,30
mimic,0,2620,76.0,0.013931828,87022,0.1,30
mimic,0,2630,76.0,0.014066501,87353,0.1,30
mimic,0,2640,76.0,0.013880927,87684,0.1,30
mimic,0,2650,76.0,0.013897631,88015,0.1,30
mimic,0,2660,76.0,0.013967841,88346,0.1,30
mimic,0,2670,76.0,0.013862085,88677,0.1,30
